,Cause,Effect
0,audio_Clock,audio_Train horn
1,audio_Clock,audio_Bark
2,audio_Clock,audio_Bus
3,audio_Clock,audio_Toilet flush
4,audio_Clock,audio_Acoustic guitar
5,audio_Clock,audio_Chainsaw
6,audio_Horse,audio_Clock
7,audio_Clock,audio_Infant cry
8,visual_Clock,audio_Clock
9,visual_Train horn,audio_Clock
10,visual_Bus,audio_Clock
11,audio_Clock,visual_Rodents/rats
12,audio_Clock,visual_Acoustic guitar
13,audio_Motorcycle,audio_Train horn
14,audio_Motorcycle,audio_Bark
15,audio_Motorcycle,audio_Bus
16,audio_Rodents/rats,audio_Motorcycle
17,audio_Motorcycle,audio_Toilet flush
18,audio_Motorcycle,audio_Acoustic guitar
19,audio_Motorcycle,audio_Frying (food)
20,audio_Motorcycle,audio_Infant cry
21,audio_Motorcycle,visual_Motorcycle
22,visual_Bark,audio_Motorcycle
23,audio_Motorcycle,visual_Rodents/rats
24,audio_Motorcycle,visual_Acoustic guitar
25,audio_Motorcycle,visual_Frying (food)
26,audio_Motorcycle,visual_Helicopter
27,visual_Truck,audio_Motorcycle
28,audio_Bark,audio_Train horn
29,audio_Train horn,audio_Bus
30,audio_Rodents/rats,audio_Train horn
31,audio_Toilet flush,audio_Train horn
32,audio_Train horn,audio_Acoustic guitar
33,audio_Train horn,audio_Chainsaw
34,audio_Helicopter,audio_Train horn
35,audio_Train horn,audio_Infant cry
36,audio_Truck,audio_Train horn
37,visual_Clock,audio_Train horn
38,visual_Motorcycle,audio_Train horn
39,visual_Train horn,audio_Train horn
40,visual_Bark,audio_Train horn
41,audio_Train horn,visual_Acoustic guitar
42,visual_Helicopter,audio_Train horn
43,visual_Truck,audio_Train horn
44,audio_Bark,audio_Bus
45,audio_Bark,audio_Toilet flush
46,audio_Bark,audio_Acoustic guitar
47,audio_Bark,audio_Chainsaw
48,audio_Bark,audio_Helicopter
49,audio_Bark,audio_Infant cry
50,visual_Clock,audio_Bark
51,visual_Motorcycle,audio_Bark
52,visual_Bark,audio_Bark
53,audio_Bark,visual_Rodents/rats
54,audio_Bark,visual_Toilet flush
55,audio_Bark,visual_Acoustic guitar
56,audio_Cat,audio_Bus
57,audio_Cat,audio_Acoustic guitar
58,audio_Cat,visual_Cat
59,audio_Cat,visual_Rodents/rats
60,audio_Cat,visual_Acoustic guitar
61,audio_Cat,visual_Horse
62,audio_Rodents/rats,audio_Bus
63,audio_Toilet flush,audio_Bus
64,audio_Acoustic guitar,audio_Bus
65,audio_Frying (food),audio_Bus
66,audio_Chainsaw,audio_Bus
67,audio_Horse,audio_Bus
68,audio_Helicopter,audio_Bus
69,audio_Infant cry,audio_Bus
70,audio_Truck,audio_Bus
71,visual_Clock,audio_Bus
72,visual_Bus,audio_Bus
73,audio_Bus,visual_Toilet flush
74,visual_Frying (food),audio_Bus
75,audio_Bus,visual_Horse
76,visual_Infant cry,audio_Bus
77,audio_Rodents/rats,audio_Toilet flush
78,audio_Rodents/rats,audio_Acoustic guitar
79,audio_Rodents/rats,audio_Frying (food)
80,audio_Rodents/rats,audio_Chainsaw
81,audio_Rodents/rats,audio_Horse
82,audio_Rodents/rats,audio_Infant cry
83,audio_Rodents/rats,visual_Train horn
84,audio_Rodents/rats,visual_Bus
85,audio_Rodents/rats,visual_Rodents/rats
86,audio_Rodents/rats,visual_Acoustic guitar
87,audio_Rodents/rats,visual_Helicopter
88,audio_Toilet flush,audio_Acoustic guitar
89,audio_Frying (food),audio_Toilet flush
90,audio_Toilet flush,audio_Chainsaw
91,audio_Horse,audio_Toilet flush
92,audio_Helicopter,audio_Toilet flush
93,audio_Toilet flush,audio_Infant cry
94,audio_Truck,audio_Toilet flush
95,visual_Train horn,audio_Toilet flush
96,visual_Cat,audio_Toilet flush
97,visual_Bus,audio_Toilet flush
98,audio_Toilet flush,visual_Rodents/rats
99,audio_Toilet flush,visual_Toilet flush
100,audio_Toilet flush,visual_Acoustic guitar
101,audio_Toilet flush,visual_Horse
102,audio_Toilet flush,visual_Infant cry
103,audio_Frying (food),audio_Acoustic guitar
104,audio_Chainsaw,audio_Acoustic guitar
105,audio_Horse,audio_Acoustic guitar
106,audio_Helicopter,audio_Acoustic guitar
107,audio_Infant cry,audio_Acoustic guitar
