,Cause,Effect
0,audio_Clock,audio_Bark
1,audio_Cat,audio_Clock
2,audio_Rodents/rats,audio_Clock
3,audio_Chainsaw,audio_Clock
4,audio_Horse,audio_Clock
5,audio_Clock,audio_Helicopter
6,audio_Clock,audio_Truck
7,visual_Clock,audio_Clock
8,visual_Motorcycle,audio_Clock
9,visual_Train horn,audio_Clock
10,visual_Bark,audio_Clock
11,visual_Bus,audio_Clock
12,visual_Rodents/rats,audio_Clock
13,visual_Toilet flush,audio_Clock
14,visual_Acoustic guitar,audio_Clock
15,visual_Frying (food),audio_Clock
16,visual_Helicopter,audio_Clock
17,visual_Infant cry,audio_Clock
18,visual_Truck,audio_Clock
19,audio_Motorcycle,audio_Bark
20,audio_Motorcycle,audio_Acoustic guitar
21,audio_Frying (food),audio_Motorcycle
22,audio_Horse,audio_Motorcycle
23,audio_Motorcycle,audio_Helicopter
24,audio_Motorcycle,audio_Truck
25,visual_Motorcycle,audio_Motorcycle
26,visual_Bark,audio_Motorcycle
27,audio_Motorcycle,visual_Cat
28,visual_Frying (food),audio_Motorcycle
29,visual_Helicopter,audio_Motorcycle
30,audio_Train horn,audio_Bark
31,audio_Train horn,audio_Bus
32,audio_Train horn,audio_Helicopter
33,audio_Train horn,audio_Truck
34,audio_Train horn,visual_Clock
35,audio_Train horn,visual_Train horn
36,audio_Train horn,visual_Bus
37,audio_Train horn,visual_Frying (food)
38,audio_Train horn,visual_Chainsaw
39,audio_Train horn,visual_Infant cry
40,audio_Cat,audio_Bark
41,audio_Bus,audio_Bark
42,audio_Rodents/rats,audio_Bark
43,audio_Toilet flush,audio_Bark
44,audio_Acoustic guitar,audio_Bark
45,audio_Frying (food),audio_Bark
46,audio_Chainsaw,audio_Bark
47,audio_Horse,audio_Bark
48,audio_Helicopter,audio_Bark
49,audio_Infant cry,audio_Bark
50,audio_Truck,audio_Bark
51,visual_Clock,audio_Bark
52,visual_Motorcycle,audio_Bark
53,visual_Train horn,audio_Bark
54,visual_Bark,audio_Bark
55,visual_Cat,audio_Bark
56,visual_Bus,audio_Bark
57,visual_Rodents/rats,audio_Bark
58,visual_Toilet flush,audio_Bark
59,visual_Acoustic guitar,audio_Bark
60,visual_Frying (food),audio_Bark
61,visual_Chainsaw,audio_Bark
62,visual_Horse,audio_Bark
63,visual_Helicopter,audio_Bark
64,visual_Infant cry,audio_Bark
65,visual_Truck,audio_Bark
66,audio_Bus,audio_Cat
67,audio_Rodents/rats,audio_Cat
68,audio_Toilet flush,audio_Cat
69,audio_Frying (food),audio_Cat
70,audio_Chainsaw,audio_Cat
71,audio_Cat,audio_Helicopter
72,audio_Infant cry,audio_Cat
73,visual_Clock,audio_Cat
74,visual_Train horn,audio_Cat
75,visual_Bark,audio_Cat
76,visual_Cat,audio_Cat
77,audio_Rodents/rats,audio_Bus
78,audio_Toilet flush,audio_Bus
79,audio_Frying (food),audio_Bus
80,audio_Chainsaw,audio_Bus
81,audio_Horse,audio_Bus
82,audio_Bus,audio_Helicopter
83,audio_Bus,audio_Truck
84,visual_Train horn,audio_Bus
85,visual_Bark,audio_Bus
86,audio_Bus,visual_Cat
87,visual_Bus,audio_Bus
88,audio_Bus,visual_Horse
89,visual_Helicopter,audio_Bus
90,audio_Rodents/rats,audio_Toilet flush
91,audio_Rodents/rats,audio_Acoustic guitar
92,audio_Rodents/rats,audio_Helicopter
93,audio_Rodents/rats,audio_Truck
94,audio_Rodents/rats,visual_Bus
95,audio_Rodents/rats,visual_Rodents/rats
96,audio_Rodents/rats,visual_Acoustic guitar
97,audio_Horse,audio_Toilet flush
98,audio_Toilet flush,audio_Helicopter
99,audio_Toilet flush,audio_Truck
100,audio_Toilet flush,visual_Cat
101,visual_Toilet flush,audio_Toilet flush
102,audio_Toilet flush,visual_Acoustic guitar
103,visual_Frying (food),audio_Toilet flush
104,visual_Helicopter,audio_Toilet flush
105,audio_Toilet flush,visual_Truck
106,audio_Chainsaw,audio_Acoustic guitar
107,audio_Acoustic guitar,audio_Helicopter
108,audio_Acoustic guitar,audio_Truck
109,visual_Clock,audio_Acoustic guitar
110,visual_Motorcycle,audio_Acoustic guitar
111,audio_Acoustic guitar,visual_Cat
112,audio_Acoustic guitar,visual_Bus
113,visual_Toilet flush,audio_Acoustic guitar
114,visual_Acoustic guitar,audio_Acoustic guitar
115,audio_Acoustic guitar,visual_Truck
116,audio_Frying (food),audio_Helicopter
117,audio_Infant cry,audio_Frying (food)
118,audio_Frying (food),audio_Truck
119,audio_Frying (food),visual_Bus
120,visual_Acoustic guitar,audio_Frying (food)
121,visual_Frying (food),audio_Frying (food)
122,visual_Helicopter,audio_Frying (food)
123,audio_Chainsaw,audio_Helicopter
124,audio_Chainsaw,audio_Truck
125,audio_Chainsaw,visual_Rodents/rats
126,audio_Chainsaw,visual_Acoustic guitar
127,audio_Chainsaw,visual_Frying (food)
128,visual_Chainsaw,audio_Chainsaw
129,visual_Helicopter,audio_Chainsaw
130,audio_Horse,audio_Helicopter
131,audio_Horse,audio_Truck
132,visual_Clock,audio_Horse
133,audio_Horse,visual_Cat
134,audio_Horse,visual_Bus
135,audio_Horse,visual_Rodents/rats
136,audio_Horse,visual_Toilet flush
137,audio_Horse,visual_Acoustic guitar
138,audio_Horse,visual_Horse
139,audio_Horse,visual_Infant cry
140,audio_Horse,visual_Truck
141,audio_Infant cry,audio_Helicopter
142,audio_Truck,audio_Helicopter
143,visual_Clock,audio_Helicopter
144,visual_Motorcycle,audio_Helicopter
145,visual_Train horn,audio_Helicopter
146,visual_Bark,audio_Helicopter
147,visual_Rodents/rats,audio_Helicopter
148,visual_Frying (food),audio_Helicopter
149,visual_Helicopter,audio_Helicopter
150,visual_Truck,audio_Helicopter
151,audio_Infant cry,audio_Truck
152,visual_Motorcycle,audio_Infant cry
153,visual_Infant cry,audio_Infant cry
154,audio_Infant cry,visual_Truck
155,visual_Train horn,audio_Truck
156,visual_Bark,audio_Truck
157,visual_Cat,audio_Truck
158,visual_Bus,audio_Truck
159,audio_Truck,visual_Horse
160,visual_Helicopter,audio_Truck
161,visual_Truck,audio_Truck
162,visual_Clock,visual_Bark
163,visual_Clock,visual_Cat
164,visual_Clock,visual_Bus
165,visual_Clock,visual_Toilet flush
166,visual_Clock,visual_Acoustic guitar
167,visual_Clock,visual_Frying (food)
168,visual_Chainsaw,visual_Clock
169,visual_Clock,visual_Horse
170,visual_Helicopter,visual_Clock
171,visual_Clock,visual_Infant cry
172,visual_Clock,visual_Truck
173,visual_Motorcycle,visual_Bus
174,visual_Motorcycle,visual_Toilet flush
175,visual_Motorcycle,visual_Acoustic guitar
176,visual_Motorcycle,visual_Frying (food)
177,visual_Motorcycle,visual_Horse
178,visual_Motorcycle,visual_Helicopter
179,visual_Motorcycle,visual_Infant cry
180,visual_Motorcycle,visual_Truck
181,visual_Train horn,visual_Cat
182,visual_Train horn,visual_Bus
183,visual_Train horn,visual_Toilet flush
184,visual_Train horn,visual_Acoustic guitar
185,visual_Frying (food),visual_Train horn
186,visual_Train horn,visual_Horse
187,visual_Train horn,visual_Truck
188,visual_Bark,visual_Bus
189,visual_Bark,visual_Rodents/rats
190,visual_Bark,visual_Toilet flush
191,visual_Bark,visual_Acoustic guitar
192,visual_Bark,visual_Frying (food)
193,visual_Bark,visual_Horse
194,visual_Helicopter,visual_Bark
195,visual_Bark,visual_Infant cry
196,visual_Bark,visual_Truck
197,visual_Rodents/rats,visual_Cat
198,visual_Toilet flush,visual_Cat
199,visual_Frying (food),visual_Cat
200,visual_Chainsaw,visual_Cat
201,visual_Cat,visual_Horse
202,visual_Helicopter,visual_Cat
203,visual_Infant cry,visual_Cat
204,visual_Cat,visual_Truck
205,visual_Rodents/rats,visual_Bus
206,visual_Toilet flush,visual_Bus
207,visual_Frying (food),visual_Bus
208,visual_Chainsaw,visual_Bus
209,visual_Bus,visual_Horse
210,visual_Helicopter,visual_Bus
211,visual_Infant cry,visual_Bus
212,visual_Bus,visual_Truck
213,visual_Rodents/rats,visual_Toilet flush
214,visual_Rodents/rats,visual_Frying (food)
215,visual_Rodents/rats,visual_Horse
216,visual_Rodents/rats,visual_Infant cry
217,visual_Rodents/rats,visual_Truck
218,visual_Toilet flush,visual_Acoustic guitar
219,visual_Frying (food),visual_Toilet flush
220,visual_Chainsaw,visual_Toilet flush
221,visual_Toilet flush,visual_Horse
222,visual_Helicopter,visual_Toilet flush
223,visual_Toilet flush,visual_Infant cry
224,visual_Toilet flush,visual_Truck
225,visual_Frying (food),visual_Acoustic guitar
226,visual_Acoustic guitar,visual_Horse
227,visual_Helicopter,visual_Acoustic guitar
