,Cause,Effect
0,audio_Motorcycle,audio_Clock
1,audio_Train horn,audio_Clock
2,audio_Bark,audio_Clock
3,audio_Cat,audio_Clock
4,audio_Bus,audio_Clock
5,audio_Rodents/rats,audio_Clock
6,audio_Toilet flush,audio_Clock
7,audio_Acoustic guitar,audio_Clock
8,audio_Frying (food),audio_Clock
9,audio_Chainsaw,audio_Clock
10,audio_Horse,audio_Clock
11,audio_Helicopter,audio_Clock
12,audio_Infant cry,audio_Clock
13,audio_Truck,audio_Clock
14,visual_Clock,audio_Clock
15,visual_Motorcycle,audio_Clock
16,visual_Train horn,audio_Clock
17,visual_Bark,audio_Clock
18,visual_Cat,audio_Clock
19,visual_Bus,audio_Clock
20,visual_Rodents/rats,audio_Clock
21,visual_Toilet flush,audio_Clock
22,visual_Acoustic guitar,audio_Clock
23,visual_Frying (food),audio_Clock
24,visual_Chainsaw,audio_Clock
25,visual_Horse,audio_Clock
26,visual_Helicopter,audio_Clock
27,visual_Infant cry,audio_Clock
28,visual_Truck,audio_Clock
29,audio_Motorcycle,audio_Train horn
30,audio_Motorcycle,audio_Bark
31,audio_Motorcycle,audio_Rodents/rats
32,audio_Motorcycle,audio_Frying (food)
33,audio_Motorcycle,audio_Chainsaw
34,audio_Motorcycle,audio_Horse
35,audio_Motorcycle,audio_Helicopter
36,audio_Motorcycle,audio_Infant cry
37,audio_Motorcycle,audio_Truck
38,audio_Motorcycle,visual_Motorcycle
39,audio_Motorcycle,visual_Acoustic guitar
40,audio_Motorcycle,visual_Frying (food)
41,audio_Train horn,audio_Bark
42,audio_Rodents/rats,audio_Train horn
43,audio_Toilet flush,audio_Train horn
44,audio_Acoustic guitar,audio_Train horn
45,audio_Frying (food),audio_Train horn
46,audio_Chainsaw,audio_Train horn
47,audio_Horse,audio_Train horn
48,audio_Helicopter,audio_Train horn
49,audio_Train horn,audio_Truck
50,visual_Motorcycle,audio_Train horn
51,visual_Train horn,audio_Train horn
52,visual_Bark,audio_Train horn
53,visual_Cat,audio_Train horn
54,visual_Toilet flush,audio_Train horn
55,visual_Acoustic guitar,audio_Train horn
56,visual_Frying (food),audio_Train horn
57,visual_Helicopter,audio_Train horn
58,audio_Cat,audio_Bark
59,audio_Bus,audio_Bark
60,audio_Rodents/rats,audio_Bark
61,audio_Toilet flush,audio_Bark
62,audio_Acoustic guitar,audio_Bark
63,audio_Frying (food),audio_Bark
64,audio_Chainsaw,audio_Bark
65,audio_Horse,audio_Bark
66,audio_Helicopter,audio_Bark
67,audio_Infant cry,audio_Bark
68,audio_Truck,audio_Bark
69,visual_Clock,audio_Bark
70,visual_Bark,audio_Bark
71,visual_Rodents/rats,audio_Bark
72,visual_Toilet flush,audio_Bark
73,visual_Acoustic guitar,audio_Bark
74,visual_Chainsaw,audio_Bark
75,visual_Horse,audio_Bark
76,visual_Infant cry,audio_Bark
77,audio_Cat,audio_Toilet flush
78,audio_Cat,audio_Helicopter
79,audio_Cat,visual_Clock
80,audio_Cat,visual_Motorcycle
81,audio_Cat,visual_Cat
82,audio_Toilet flush,audio_Bus
83,audio_Frying (food),audio_Bus
84,audio_Horse,audio_Bus
85,audio_Helicopter,audio_Bus
86,audio_Bus,audio_Truck
87,audio_Bus,visual_Clock
88,audio_Bus,visual_Bark
89,visual_Bus,audio_Bus
90,visual_Toilet flush,audio_Bus
91,visual_Horse,audio_Bus
92,visual_Helicopter,audio_Bus
93,audio_Rodents/rats,audio_Toilet flush
94,audio_Rodents/rats,audio_Truck
95,audio_Rodents/rats,visual_Clock
96,visual_Motorcycle,audio_Rodents/rats
97,visual_Rodents/rats,audio_Rodents/rats
98,visual_Acoustic guitar,audio_Rodents/rats
99,audio_Infant cry,audio_Toilet flush
100,audio_Toilet flush,audio_Truck
101,audio_Toilet flush,visual_Clock
102,audio_Toilet flush,visual_Bark
103,visual_Cat,audio_Toilet flush
104,visual_Rodents/rats,audio_Toilet flush
105,visual_Toilet flush,audio_Toilet flush
106,audio_Toilet flush,visual_Chainsaw
107,visual_Helicopter,audio_Toilet flush
108,visual_Infant cry,audio_Toilet flush
109,audio_Acoustic guitar,audio_Frying (food)
110,audio_Acoustic guitar,audio_Chainsaw
111,audio_Acoustic guitar,audio_Truck
112,visual_Motorcycle,audio_Acoustic guitar
113,audio_Acoustic guitar,visual_Train horn
114,visual_Bus,audio_Acoustic guitar
115,visual_Acoustic guitar,audio_Acoustic guitar
116,visual_Truck,audio_Acoustic guitar
117,audio_Infant cry,audio_Frying (food)
118,audio_Frying (food),audio_Truck
119,visual_Motorcycle,audio_Frying (food)
120,visual_Acoustic guitar,audio_Frying (food)
121,visual_Frying (food),audio_Frying (food)
122,visual_Infant cry,audio_Frying (food)
123,audio_Helicopter,audio_Chainsaw
124,audio_Infant cry,audio_Chainsaw
125,audio_Chainsaw,audio_Truck
126,visual_Motorcycle,audio_Chainsaw
127,visual_Acoustic guitar,audio_Chainsaw
128,visual_Chainsaw,audio_Chainsaw
129,visual_Helicopter,audio_Chainsaw
130,visual_Infant cry,audio_Chainsaw
131,audio_Horse,audio_Infant cry
132,audio_Horse,audio_Truck
133,visual_Motorcycle,audio_Horse
134,audio_Horse,visual_Chainsaw
135,visual_Horse,audio_Horse
136,audio_Helicopter,audio_Infant cry
137,audio_Helicopter,audio_Truck
138,audio_Helicopter,visual_Clock
139,visual_Motorcycle,audio_Helicopter
140,audio_Helicopter,visual_Bark
141,visual_Cat,audio_Helicopter
142,visual_Acoustic guitar,audio_Helicopter
143,visual_Helicopter,audio_Helicopter
144,audio_Helicopter,visual_Truck
145,audio_Infant cry,audio_Truck
146,visual_Motorcycle,audio_Infant cry
147,visual_Cat,audio_Infant cry
148,audio_Infant cry,visual_Bus
149,visual_Horse,audio_Infant cry
150,visual_Helicopter,audio_Infant cry
151,visual_Infant cry,audio_Infant cry
152,visual_Motorcycle,audio_Truck
153,visual_Train horn,audio_Truck
154,visual_Bark,audio_Truck
155,visual_Bus,audio_Truck
156,visual_Rodents/rats,audio_Truck
157,visual_Toilet flush,audio_Truck
158,visual_Frying (food),audio_Truck
159,visual_Chainsaw,audio_Truck
160,visual_Horse,audio_Truck
161,visual_Helicopter,audio_Truck
162,visual_Infant cry,audio_Truck
163,visual_Truck,audio_Truck
164,visual_Motorcycle,visual_Clock
165,visual_Train horn,visual_Clock
166,visual_Bark,visual_Clock
167,visual_Cat,visual_Clock
168,visual_Bus,visual_Clock
169,visual_Rodents/rats,visual_Clock
170,visual_Toilet flush,visual_Clock
171,visual_Acoustic guitar,visual_Clock
172,visual_Frying (food),visual_Clock
173,visual_Chainsaw,visual_Clock
174,visual_Horse,visual_Clock
175,visual_Helicopter,visual_Clock
176,visual_Infant cry,visual_Clock
177,visual_Truck,visual_Clock
178,visual_Motorcycle,visual_Train horn
179,visual_Motorcycle,visual_Bark
180,visual_Cat,visual_Motorcycle
181,visual_Motorcycle,visual_Toilet flush
182,visual_Motorcycle,visual_Frying (food)
183,visual_Motorcycle,visual_Chainsaw
184,visual_Motorcycle,visual_Horse
185,visual_Motorcycle,visual_Truck
186,visual_Train horn,visual_Bark
187,visual_Cat,visual_Train horn
188,visual_Bus,visual_Train horn
189,visual_Rodents/rats,visual_Train horn
190,visual_Toilet flush,visual_Train horn
191,visual_Acoustic guitar,visual_Train horn
192,visual_Frying (food),visual_Train horn
193,visual_Train horn,visual_Chainsaw
194,visual_Horse,visual_Train horn
195,visual_Helicopter,visual_Train horn
196,visual_Infant cry,visual_Train horn
197,visual_Truck,visual_Train horn
198,visual_Cat,visual_Bark
199,visual_Rodents/rats,visual_Bark
200,visual_Toilet flush,visual_Bark
201,visual_Acoustic guitar,visual_Bark
202,visual_Frying (food),visual_Bark
203,visual_Chainsaw,visual_Bark
204,visual_Horse,visual_Bark
205,visual_Helicopter,visual_Bark
206,visual_Infant cry,visual_Bark
207,visual_Truck,visual_Bark
208,visual_Cat,visual_Rodents/rats
209,visual_Cat,visual_Toilet flush
210,visual_Acoustic guitar,visual_Cat
211,visual_Cat,visual_Chainsaw
212,visual_Cat,visual_Horse
213,visual_Cat,visual_Truck
214,visual_Bus,visual_Chainsaw
215,visual_Infant cry,visual_Bus
216,visual_Rodents/rats,visual_Toilet flush
217,visual_Rodents/rats,visual_Chainsaw
218,visual_Rodents/rats,visual_Horse
219,visual_Rodents/rats,visual_Helicopter
220,visual_Rodents/rats,visual_Truck
221,visual_Acoustic guitar,visual_Toilet flush
222,visual_Frying (food),visual_Toilet flush
223,visual_Horse,visual_Toilet flush
224,visual_Helicopter,visual_Toilet flush
225,visual_Truck,visual_Toilet flush
226,visual_Acoustic guitar,visual_Chainsaw
227,visual_Acoustic guitar,visual_Horse
228,visual_Acoustic guitar,visual_Helicopter
229,visual_Acoustic guitar,visual_Truck
230,visual_Frying (food),visual_Chainsaw
231,visual_Frying (food),visual_Helicopter
232,visual_Frying (food),visual_Truck
233,visual_Helicopter,visual_Chainsaw
234,visual_Infant cry,visual_Chainsaw
235,visual_Truck,visual_Chainsaw
236,visual_Helicopter,visual_Truck
237,visual_Infant cry,visual_Truck
