,Cause,Effect
0,audio_Clock,audio_Bark
1,audio_Bus,audio_Clock
2,audio_Chainsaw,audio_Clock
3,audio_Clock,audio_Horse
4,audio_Clock,audio_Helicopter
5,audio_Clock,visual_Clock
6,visual_Motorcycle,audio_Clock
7,visual_Train horn,audio_Clock
8,audio_Clock,visual_Bark
9,audio_Clock,visual_Toilet flush
10,audio_Clock,visual_Acoustic guitar
11,visual_Frying (food),audio_Clock
12,audio_Clock,visual_Chainsaw
13,audio_Clock,visual_Infant cry
14,audio_Train horn,audio_Motorcycle
15,audio_Motorcycle,audio_Bark
16,audio_Motorcycle,audio_Toilet flush
17,audio_Motorcycle,audio_Frying (food)
18,audio_Horse,audio_Motorcycle
19,audio_Motorcycle,audio_Helicopter
20,visual_Motorcycle,audio_Motorcycle
21,visual_Train horn,audio_Motorcycle
22,audio_Motorcycle,visual_Bark
23,audio_Motorcycle,visual_Toilet flush
24,audio_Motorcycle,visual_Chainsaw
25,visual_Horse,audio_Motorcycle
26,audio_Train horn,audio_Bark
27,audio_Train horn,audio_Bus
28,audio_Train horn,audio_Toilet flush
29,audio_Train horn,audio_Acoustic guitar
30,audio_Train horn,audio_Chainsaw
31,audio_Train horn,audio_Helicopter
32,audio_Train horn,audio_Truck
33,audio_Train horn,visual_Train horn
34,audio_Train horn,visual_Bark
35,audio_Train horn,visual_Bus
36,audio_Train horn,visual_Toilet flush
37,audio_Train horn,visual_Truck
38,audio_Cat,audio_Bark
39,audio_Bus,audio_Bark
40,audio_Rodents/rats,audio_Bark
41,audio_Toilet flush,audio_Bark
42,audio_Acoustic guitar,audio_Bark
43,audio_Frying (food),audio_Bark
44,audio_Chainsaw,audio_Bark
45,audio_Horse,audio_Bark
46,audio_Helicopter,audio_Bark
47,audio_Infant cry,audio_Bark
48,audio_Truck,audio_Bark
49,audio_Bark,visual_Bark
50,visual_Frying (food),audio_Bark
51,audio_Cat,audio_Chainsaw
52,audio_Cat,audio_Helicopter
53,audio_Cat,visual_Clock
54,audio_Cat,visual_Bark
55,visual_Cat,audio_Cat
56,audio_Cat,visual_Acoustic guitar
57,audio_Bus,audio_Acoustic guitar
58,audio_Bus,audio_Chainsaw
59,audio_Bus,audio_Helicopter
60,audio_Bus,audio_Truck
61,audio_Bus,visual_Bark
62,audio_Bus,visual_Bus
63,audio_Bus,visual_Toilet flush
64,audio_Bus,visual_Helicopter
65,audio_Bus,visual_Infant cry
66,audio_Bus,visual_Truck
67,audio_Rodents/rats,audio_Toilet flush
68,audio_Frying (food),audio_Rodents/rats
69,audio_Horse,audio_Rodents/rats
70,audio_Rodents/rats,audio_Helicopter
71,audio_Rodents/rats,audio_Truck
72,audio_Rodents/rats,visual_Bark
73,visual_Cat,audio_Rodents/rats
74,visual_Rodents/rats,audio_Rodents/rats
75,visual_Frying (food),audio_Rodents/rats
76,audio_Acoustic guitar,audio_Toilet flush
77,audio_Frying (food),audio_Toilet flush
78,audio_Toilet flush,audio_Helicopter
79,audio_Infant cry,audio_Toilet flush
80,audio_Toilet flush,audio_Truck
81,visual_Train horn,audio_Toilet flush
82,audio_Toilet flush,visual_Bark
83,visual_Bus,audio_Toilet flush
84,visual_Rodents/rats,audio_Toilet flush
85,visual_Toilet flush,audio_Toilet flush
86,visual_Acoustic guitar,audio_Toilet flush
87,visual_Frying (food),audio_Toilet flush
88,audio_Toilet flush,visual_Helicopter
89,visual_Infant cry,audio_Toilet flush
90,audio_Acoustic guitar,audio_Frying (food)
91,audio_Chainsaw,audio_Acoustic guitar
92,audio_Horse,audio_Acoustic guitar
93,audio_Acoustic guitar,audio_Helicopter
94,audio_Infant cry,audio_Acoustic guitar
95,visual_Clock,audio_Acoustic guitar
96,visual_Motorcycle,audio_Acoustic guitar
97,audio_Acoustic guitar,visual_Bark
98,visual_Cat,audio_Acoustic guitar
99,visual_Bus,audio_Acoustic guitar
100,visual_Rodents/rats,audio_Acoustic guitar
101,visual_Toilet flush,audio_Acoustic guitar
102,audio_Acoustic guitar,visual_Acoustic guitar
103,visual_Frying (food),audio_Acoustic guitar
104,audio_Acoustic guitar,visual_Helicopter
105,audio_Acoustic guitar,visual_Truck
106,audio_Chainsaw,audio_Frying (food)
107,audio_Frying (food),audio_Helicopter
108,audio_Frying (food),audio_Truck
109,audio_Frying (food),visual_Bark
